City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
273,iskateley,67.6803,53.1512,-17.21,97,100,4.02,RU,1701899065
274,fatezh,52.0891,35.8632,-7.01,97,55,4.03,RU,1701899065
275,kununurra,-15.7667,128.7333,24.99,88,32,0.0,AU,1701899065
276,kuala belait,4.5833,114.1833,25.09,89,98,1.72,BN,1701899066
277,saudarkrokur,65.7461,-19.6394,-6.18,59,3,3.17,IS,1701899066
278,san vincenzo,43.0928,10.5408,10.51,84,0,2.55,IT,1701899066
279,brandon,27.9378,-82.2859,17.92,52,0,3.13,US,1701899066
280,codrington,-38.2667,141.9667,15.28,58,100,1.83,AU,1701899066
281,union,40.6334,-74.2663,4.53,54,100,4.63,US,1701899067
282,eldorado,-23.7869,-54.2836,25.43,84,98,1.04,BR,1701899067
283,broken hill,-31.95,141.4333,30.53,25,99,8.77,AU,1701898887
284,alpine,32.835,-116.7664,24.01,35,0,3.09,US,1701898805
285,panchagarh,26.3313,88.562,19.2,64,100,1.6,BD,1701899067
286,linqiong,30.4159,103.4609,4.9,62,2,1.05,CN,1701899067
287,lerwick,60.1545,-1.1494,5.0,80,17,8.88,GB,1701899068
288,mwene-ditu,-7.0,23.45,19.39,98,100,1.29,CD,1701899068
289,maragogi,-9.0122,-35.2225,25.86,77,12,3.18,BR,1701899068
290,kudahuvadhoo,2.6708,72.8944,27.8,78,100,3.31,MV,1701899068
291,ingeniero jacobacci,-41.3427,-69.5448,24.57,19,90,6.05,AR,1701899068
292,ozu,33.5,132.55,13.99,71,72,8.78,JP,1701899069
293,sinjai,-5.1241,120.253,24.64,93,98,2.42,ID,1701898828
294,trebujena,36.8725,-6.2165,15.1,100,100,0.51,ES,1701899069
295,villa ocampo,-28.4875,-59.3551,25.62,81,58,3.43,AR,1701899069
296,xinqing,48.2333,129.5,-17.78,97,32,1.79,CN,1701899069
297,gobernador virasora,-28.05,-56.0333,28.06,96,82,0.45,AR,1701899070
298,mokhsogollokh,61.4681,128.9203,-41.99,95,100,0.54,RU,1701899070
299,trairi,-3.2778,-39.2689,26.89,75,92,5.26,BR,1701898816
300,biryusinsk,55.9634,97.8235,-21.47,97,100,5.3,RU,1701899070
301,mont-laurier,46.5501,-75.4993,-10.21,94,8,0.86,CA,1701899070
302,rongelap,11.1635,166.8941,27.5,80,100,10.11,MH,1701899070
303,hammerfest,70.6634,23.6821,-5.75,63,58,8.75,NO,1701899071
304,ust'-kut,56.7938,105.7672,-37.53,98,62,1.79,RU,1701899071
305,songyang,34.4553,113.0281,9.6,26,0,1.91,CN,1701899071
306,katsuren-haebaru,26.3369,127.8719,21.43,60,100,6.17,JP,1701898841
307,grand-bassam,5.2118,-3.7388,28.98,82,34,3.4,CI,1701899071
308,ambalavao,-21.8333,46.9333,19.74,80,98,2.61,MG,1701899071
309,puerto lempira,15.2667,-83.7667,28.08,74,75,4.63,HN,1701898784
310,pandan,14.0453,124.1694,25.61,82,80,3.37,PH,1701899072
311,ola,59.5833,151.2833,-15.97,66,100,6.49,RU,1701899072
312,musan-up,42.2261,129.2078,-7.16,41,70,4.7,KP,1701899072
313,dar kulayb,26.0686,50.5039,21.97,88,18,0.71,BH,1701899072
314,sarmiento,-45.5882,-69.07,24.66,22,1,1.17,AR,1701899072
315,palikir - national government center,6.9248,158.1611,26.41,89,100,2.57,FM,1701899073
316,sumbawa besar,-8.5,117.4333,24.87,89,100,1.44,ID,1701899073
317,pointe-noire,-4.7761,11.8635,26.34,83,54,2.04,CG,1701899073
318,mahajanga,-15.7167,46.3167,29.01,84,20,3.6,MG,1701899073
319,ponta delgada,37.7333,-25.6667,20.4,88,75,7.72,PT,1701899073
320,san julian,21.0167,-102.1667,19.47,44,93,5.16,MX,1701899074
321,othis,49.0739,2.675,4.04,96,75,2.57,FR,1701899074
322,wynne,35.2245,-90.7868,9.19,48,0,1.2,US,1701899074
323,sarangani,5.4033,125.4636,28.05,77,87,2.48,PH,1701899074
324,kayangel,8.0823,134.7173,28.56,75,84,4.46,PW,1701899074
325,lingen,52.5167,7.3167,2.19,87,100,3.49,DE,1701899074
326,petropavlovsk-kamchatsky,53.0452,158.6483,-9.19,69,0,6.71,RU,1701899075
327,cianorte,-23.6633,-52.605,24.31,86,99,1.94,BR,1701899075
328,fairfax,38.8501,-77.3497,5.97,53,75,7.2,US,1701899042
329,murzuq,25.9155,13.9184,17.61,28,100,4.12,LY,1701899075
330,san miguel de allende,20.9167,-100.75,17.38,68,96,1.79,MX,1701899075
331,fort st. john,56.2499,-120.8529,3.94,52,20,5.66,CA,1701899048
332,tefe,-3.3542,-64.7114,32.06,62,40,3.09,BR,1701899076
333,salalah,17.0151,54.0924,24.05,41,0,3.09,OM,1701899076
334,yanchep,-31.55,115.6833,19.23,72,64,4.58,AU,1701899076
335,kristiansund,63.1115,7.732,-0.64,69,75,2.57,NO,1701899076
336,zunyi,27.6867,106.9072,7.88,86,57,0.52,CN,1701899076
337,nakamura,32.9833,132.9333,11.59,69,8,4.62,JP,1701899076
338,zhangye,38.9342,100.4517,-1.06,34,18,0.71,CN,1701899076
339,alo,7.4178,6.7371,28.67,42,90,1.34,NG,1701899077
340,jilin,43.0,126.0,-11.14,93,9,1.36,CN,1701899077
341,manaure,11.7751,-72.4445,29.66,59,11,6.19,CO,1701899077
342,laguna,38.421,-121.4238,15.16,83,40,3.6,US,1701899077
343,cam ranh,11.9214,109.1591,23.98,94,40,6.69,VN,1701899077
344,mukalla,14.5425,49.1242,23.24,71,5,1.41,YE,1701898902
345,vizinga,61.0749,50.1031,-29.03,98,10,0.7,RU,1701899078
346,salinas,36.6777,-121.6555,19.32,70,75,2.57,US,1701899078
347,scarborough,54.2797,-0.4044,6.48,88,73,2.68,GB,1701898373
348,mapastepec,15.4333,-92.9,30.96,56,33,1.62,MX,1701899078
349,remire-montjoly,4.9167,-52.2667,27.02,89,20,1.54,GF,1701899078
350,knoxville,35.9606,-83.9207,7.79,59,40,3.6,US,1701898763
351,oranjemund,-28.55,16.4333,16.85,95,1,1.28,NA,1701899079
352,damghan,36.1683,54.348,8.5,34,100,0.6,IR,1701899079
353,stephenville,32.2207,-98.2023,20.65,34,0,4.12,US,1701899079
354,rosarito,32.3333,-117.0333,24.02,61,8,1.9,MX,1701898524
355,sturgis,41.7992,-85.4192,3.89,74,0,2.57,US,1701899079
356,chegdomyn,51.1167,133.0167,-13.33,92,100,1.27,RU,1701899079
357,ambanja,-13.6833,48.45,24.16,94,90,1.12,MG,1701899079
358,mirnyy,62.5353,113.9611,-45.43,63,82,0.89,RU,1701899080
359,riberalta,-10.9833,-66.1,32.11,66,75,0.0,BO,1701899080
360,beyneu,45.3167,55.2,-0.92,56,99,6.31,KZ,1701899080
361,santiago de cao,-7.9589,-79.2392,20.07,83,75,6.17,PE,1701899080
362,jeypore,18.85,82.5833,19.68,93,98,2.53,IN,1701899080
